"Step","daily-darkness-44 - train/shaping_reward","daily-darkness-44 - train/shaping_reward__MIN","daily-darkness-44 - train/shaping_reward__MAX"
"183480","-0.0005046205051541751","-0.0005046205051541751","-0.0005046205051541751"
"187372","-0.00044141874991198977","-0.00044141874991198977","-0.00044141874991198977"
"188004","-0.0008025651181385115","-0.0008025651181385115","-0.0008025651181385115"
"188944","-0.0007871242899802498","-0.0007871242899802498","-0.0007871242899802498"
"189592","-0.0008941690054868023","-0.0008941690054868023","-0.0008941690054868023"
"190344","-0.0009023843994523123","-0.0009023843994523123","-0.0009023843994523123"
"193968","-0.0009088977730553229","-0.0009088977730553229","-0.0009088977730553229"
"195748","-0.000933001220284175","-0.000933001220284175","-0.000933001220284175"
"197240","-0.0010390851423515766","-0.0010390851423515766","-0.0010390851423515766"
"204816","-0.0010617647073731832","-0.0010617647073731832","-0.0010617647073731832"
"209408","-0.0009967556449882566","-0.0009967556449882566","-0.0009967556449882566"
"210016","-0.0009373125992865812","-0.0009373125992865812","-0.0009373125992865812"
"214076","-0.0007266543037338563","-0.0007266543037338563","-0.0007266543037338563"
"216172","-0.0007634393321245126","-0.0007634393321245126","-0.0007634393321245126"
"221096","-0.0004101537998014821","-0.0004101537998014821","-0.0004101537998014821"
"222920","-0.00042206298957079614","-0.00042206298957079614","-0.00042206298957079614"
"223624","-0.00042074973120408854","-0.00042074973120408854","-0.00042074973120408854"
"227588","-0.00043624523986514124","-0.00043624523986514124","-0.00043624523986514124"
"227876","-0.0003840785321527757","-0.0003840785321527757","-0.0003840785321527757"
"229684","-0.0003961594701633853","-0.0003961594701633853","-0.0003961594701633853"
"237056","-0.00024703417924207315","-0.00024703417924207315","-0.00024703417924207315"
"249928","-0.0003301079022857008","-0.0003301079022857008","-0.0003301079022857008"
"254492","-0.00024907795665552737","-0.00024907795665552737","-0.00024907795665552737"
"256616","-0.00019513633197116185","-0.00019513633197116185","-0.00019513633197116185"
"268500","0.0005026723279005039","0.0005026723279005039","0.0005026723279005039"
"269012","0.0007299823363790076","0.0007299823363790076","0.0007299823363790076"
"270000","0.0007380642812516784","0.0007380642812516784","0.0007380642812516784"
"270504","0.0007046637318342541","0.0007046637318342541","0.0007046637318342541"
"271332","0.0006273372167903853","0.0006273372167903853","0.0006273372167903853"
