#{"t_start": 1784215543.441835, "env_id": "None"}
r,l,t
900.072462,232,1740.492477
-43.981418,60,1741.313956
691.845589,354,1750.106369
558.252459,398,1754.545959
1076.524728,540,1760.896569
567.491154,421,1765.609989
594.48503,258,1768.611561
787.078997,338,1777.117544
986.916368,355,1781.309054
892.435307,388,1786.278284
254.957586,280,1789.421799
878.964153,498,1833.759513
886.97926,336,1837.809228
695.951431,121,1843.20965
1059.867601,617,1850.455002
979.9994,434,1855.708022
259.878448,328,1859.523372
693.693935,375,1863.986831
994.38829,313,1872.277497
701.539868,285,1875.883578
49.4042,90,1877.091175
798.651343,296,1880.250445
152.759446,174,1882.314811
658.392644,528,1888.039484
163.142465,150,1889.84956
601.506088,212,1892.358711
908.798326,356,1901.421424
601.779769,174,1903.581556
803.134347,357,1907.936005
896.084239,333,1911.725468
46.882251,80,1912.577112
153.28433,105,1913.649613
463.951344,442,1918.495071
993.837694,447,1924.105842
704.939453,211,1931.555666
999.320753,230,1934.372474
590.883417,282,1937.810618
1102.83904,337,1942.057734
49.034265,88,1943.118577
601.138365,201,1945.333303
598.023759,96,1946.485961
606.713057,238,1949.215917
349.807044,332,1953.153353
896.818572,262,1960.536382
3.50807,1361,1976.536608
894.460467,267,1979.736116
707.893294,178,1981.830883
888.404148,308,1990.150704
468.990273,400,1995.090155
-52.064089,67,1995.985316
987.913023,521,2002.287319
904.840901,206,2005.337833
801.641951,224,2008.25142
698.028458,228,2011.140771
694.826435,330,2020.555623
893.023784,337,2025.791005
461.187007,286,2028.972805
147.650748,196,2031.530651
699.400815,240,2034.380281
903.241606,328,2038.212371
895.346566,369,2042.79724
895.192279,197,2049.638953
-51.289702,17,2049.876394
605.601294,222,2052.848603
472.881253,295,2056.87265
-50.905574,13,2057.038518
53.185237,29,2057.432763
248.295493,230,2060.462881
792.202701,267,2063.848805
593.880107,261,2067.329627
876.768021,521,2073.737544
608.875081,169,2080.299049
696.090264,239,2083.021832
601.91772,48,2083.664567
701.318603,214,2086.306472
1007.52906,393,2091.358269
995.729164,386,2095.854436
793.906735,255,2098.960822
608.674829,270,2102.372634
1079.209309,583,2115.122251
1098.724346,333,2152.406626
688.0956,316,2156.53637
898.853835,188,2158.863374
1100.605277,339,2162.935753
1078.734432,464,2173.077
1080.356144,399,2177.613921
590.101531,225,2180.276657
-52.402506,32,2180.814968
269.384502,199,2183.315974
369.556297,299,2187.292856
1093.894288,588,2195.200829
359.423704,131,2196.793573
1075.262295,689,2210.997113
905.098862,323,2215.428137
150.997339,66,2216.188077
802.822532,263,2219.503709
1086.570367,437,2224.974993
695.933051,246,2227.967066
1078.128887,617,2240.933837
694.396058,211,2243.55944
793.552718,352,2247.959577
599.655636,177,2250.292418
1076.886932,546,2257.651192
875.85451,476,2269.189924
50.300767,164,2271.33206
474.969461,367,2275.892577
52.841017,188,2278.383141
600.96987,39,2278.93055
598.45826,298,2282.361803
899.955374,378,2287.280215
699.547512,146,2288.94374
891.601082,304,2293.073074
985.83463,372,2302.65239
-49.116901,16,2302.87369
694.250016,322,2307.060172
599.089707,82,2308.041466
989.611665,460,2314.046501
160.904883,226,2317.035774
1084.198754,400,2322.426674
605.665358,149,2324.366203
892.402976,321,2333.086683
899.60346,283,2336.399298
164.898961,247,2339.288309
1074.728097,667,2347.533715
775.818664,423,2352.81423
1083.805497,599,2365.225717
54.066225,43,2365.729726
604.967646,173,2368.01509
1084.925947,446,2373.691316
